ID,class1,class2,class3,class4,class5,class6,class7,class8,class9
1,0.026602040976285934,0.0062059760093688965,0.000911886221729219,0.1344732791185379,0.0032993913628160954,0.0043059769086539745,0.023192813619971275,0.000497679051477462,0.0005109601188451052
2,0.19412799179553986,0.0017237209249287844,0.00015572170377708972,0.0009405212476849556,0.0002180899027734995,0.0003564999788068235,0.002216972876340151,0.0001367567601846531,0.00012372725177556276
3,0.05147356912493706,0.019781332463026047,0.0016651019686833024,0.03284778445959091,0.002100481418892741,0.004789995960891247,0.08276982605457306,0.0011518059764057398,0.003420105902478099
4,0.03880809620022774,0.013736091554164886,0.002241825684905052,0.032128769904375076,0.00251028873026371,0.008060494437813759,0.10044989734888077,0.00094979366986081,0.0011147577315568924
5,0.006198338232934475,0.0220963004976511,0.0011220992309972644,0.03365718573331833,0.007908923551440239,0.00673092994838953,0.12007719278335571,0.0008953435462899506,0.0013136748457327485
6,0.049129243940114975,0.011633957736194134,0.004562492482364178,0.06653208285570145,0.019739892333745956,0.0046889642253518105,0.0403066948056221,0.0015662855003029108,0.0018403824651613832
7,0.030610185116529465,0.01133206021040678,0.002403270686045289,0.05064641311764717,0.014360396191477776,0.003303142264485359,0.08494190126657486,0.0011515375226736069,0.0012510864762589335
8,0.06595369428396225,0.01273641549050808,0.0016183539992198348,0.0326436385512352,0.007295188959687948,0.004105518572032452,0.07300321757793427,0.0010088946437463164,0.0016350705409422517
9,0.02054443210363388,0.015586137771606445,0.0016036737943068147,0.08571965247392654,0.010816083289682865,0.004739650525152683,0.0585157573223114,0.0010718241101130843,0.0014027988072484732
10,0.02857709303498268,0.03776609152555466,0.005101351533085108,0.016927989199757576,0.009835607372224331,0.008761073462665081,0.09002330154180527,0.0013738267589360476,0.0016336627304553986
11,0.027347559109330177,0.08213678002357483,0.003550195600837469,0.019741233438253403,0.017577454447746277,0.014193559065461159,0.030967269092798233,0.002474816981703043,0.002011131029576063
12,0.003316592425107956,0.029547210782766342,0.0015014329692348838,0.008465910330414772,0.0031412809621542692,0.00779308844357729,0.1436339020729065,0.0016791686648502946,0.0009214002639055252
13,0.08997728675603867,0.00844932347536087,0.004492026288062334,0.0276363343000412,0.013188901357352734,0.010420123115181923,0.04142848402261734,0.0027390981558710337,0.0016684116562828422
14,0.018588393926620483,0.0555102601647377,0.002110870322212577,0.007862867787480354,0.022604506462812424,0.006744858808815479,0.08265428245067596,0.0019638543017208576,0.0019601131789386272
15,0.005196983460336924,0.010822076350450516,0.002023922046646476,0.012201349250972271,0.04763839766383171,0.006432713475078344,0.11328180879354477,0.0012433340307325125,0.0011594187235459685
16,0.11027369648218155,0.00233653886243701,0.010392429307103157,0.04879631847143173,0.008014281280338764,0.014705711975693703,0.0019087258260697126,0.0020513194613158703,0.001520982594229281
17,0.07308165729045868,0.022228557616472244,0.002666235202923417,0.03369833901524544,0.006763053592294455,0.00873180665075779,0.050578802824020386,0.0011006906861439347,0.0011508591705933213
18,0.0033092782832682133,0.09442593902349472,0.0006596309831365943,0.03579457476735115,0.011337160132825375,0.0023135149385780096,0.050968460738658905,0.0005083662108518183,0.0006830781931057572
19,0.008827697485685349,0.033685311675071716,0.0027655591256916523,0.05406029149889946,0.005934616085141897,0.0034143677912652493,0.08892446756362915,0.0011591191869229078,0.0012285580160096288
20,0.022270530462265015,0.019079189747571945,0.0013624784769490361,0.02805057168006897,0.006774281617254019,0.004799400456249714,0.1158614307641983,0.0008292926358990371,0.0009728246368467808
